id,word,pos,zh,theme,emoji,spell,level,tier,alt
147,March,n.,三月,time,🗓️,True,2,1,
148,April,n.,四月,time,🗓️,True,2,1,
149,May,n.,五月,time,🗓️,True,2,1,
150,June,n.,六月,time,🗓️,True,2,1,
151,July,n.,七月,time,🗓️,True,2,1,
152,August,n.,八月,time,🗓️,True,3,1,
153,September,n.,九月,time,🗓️,False,3,1,
154,October,n.,十月,time,🗓️,False,3,1,
155,November,n.,十一月,time,🗓️,False,3,1,
156,December,n.,十二月,time,🗓️,False,3,1,
157,spring,n.,春天,time,🌸,False,3,1,
158,summer,n.,夏天,time,☀️,False,3,1,
159,autumn,n.,秋天,time,🍁,True,3,1,
160,winter,n.,冬天,time,❄️,False,3,1,
161,morning,n.,早上,time,🌅,False,3,1,
162,afternoon,n.,下午,time,🌇,False,3,1,
163,night,n.,晚上,time,🌙,True,2,1,
164,clothes,n.,衣服,clothing,👕,False,3,1,
165,shirt,n.,襯衫,clothing,👔,True,1,1,
166,T-shirt,n.,T恤,clothing,👕,False,3,1,
167,coat,n.,外套,clothing,🧥,True,1,1,
168,jacket,n.,夾克,clothing,🧥,False,2,1,
169,dress,n.,洋裝,clothing,👗,True,1,1,
170,skirt,n.,裙子,clothing,👗,True,1,1,
171,pants,n.,長褲,clothing,👖,True,1,1,
172,shorts,n.,短褲,clothing,🩳,False,2,1,
173,socks,n.,襪子,clothing,🧦,False,2,1,
174,shoes,n.,鞋子,clothing,👟,True,1,1,
175,hat,n.,帽子,clothing,👒,True,1,1,
176,cap,n.,鴨舌帽,clothing,🧢,True,1,1,
177,umbrella,n.,雨傘,clothing,☂️,False,3,1,
178,weather,n.,天氣,weather,🌤️,False,3,1,
179,sunny,adj.,晴朗的,weather,☀️,False,3,1,
180,rainy,adj.,下雨的,weather,🌧️,False,3,1,
181,cloudy,adj.,多雲的,weather,☁️,False,3,1,
182,windy,adj.,有風的,weather,💨,False,3,1,
183,hot,adj.,熱的,weather,🥵,True,2,1,
184,cold,adj.,冷的,weather,🥶,True,2,1,
185,warm,adj.,溫暖的,weather,🌡️,True,2,1,
186,rain,n.,雨,weather,🌧️,True,2,1,
187,snow,n.,雪,weather,❄️,True,2,1,
188,wind,n.,風,weather,💨,True,2,1,
189,cloud,n.,雲,weather,☁️,False,3,1,
190,sun,n.,太陽,weather,☀️,True,2,1,
191,moon,n.,月亮,weather,🌙,True,2,1,
192,star,n.,星星,weather,⭐,True,2,1,
193,rainbow,n.,彩虹,weather,🌈,False,3,1,
194,bus,n.,公車,transportation,🚌,True,1,1,
195,car,n.,汽車,transportation,🚗,True,1,1,
196,train,n.,火車,transportation,🚆,True,2,1,
197,taxi,n.,計程車,transportation,🚕,True,1,1,
198,bicycle,n.,腳踏車,transportation,🚲,False,3,1,
199,motorcycle,n.,機車,transportation,🏍️,False,3,1,
200,airplane,n.,飛機,transportation,✈️,False,3,1,
201,boat,n.,小船,transportation,🛶,True,1,1,
202,truck,n.,卡車,transportation,🚚,True,2,1,
203,station,n.,車站,transportation,🚉,False,3,1,
204,airport,n.,機場,transportation,🛫,False,3,1,
205,home,n.,家,places,🏠,True,1,1,
206,park,n.,公園,places,🏞️,True,1,1,
207,zoo,n.,動物園,places,🦓,True,1,1,
208,store,n.,商店,places,🏪,False,2,1,
209,market,n.,市場,places,🏬,False,2,1,
210,supermarket,n.,超級市場,places,🛒,False,3,1,
211,bank,n.,銀行,places,🏦,True,1,1,
212,hospital,n.,醫院,places,🏥,False,3,1,
213,restaurant,n.,餐廳,places,🍴,False,3,1,
214,post office,n.,郵局,places,📮,False,3,1,
215,bookstore,n.,書店,places,📚,False,3,1,
216,beach,n.,海灘,places,🏖️,True,1,1,
217,farm,n.,農場,places,🚜,True,1,1,
218,city,n.,城市,places,🏙️,True,1,1,
219,house,n.,房子,house,🏡,True,1,1,
220,door,n.,門,house,🚪,True,1,1,
221,window,n.,窗戶,house,🪟,False,3,1,
222,room,n.,房間,house,🛋️,True,1,1,
223,bedroom,n.,臥室,house,🛏️,False,3,1,
224,bathroom,n.,浴室,house,🛁,False,3,1,
225,kitchen,n.,廚房,house,🍳,False,3,1,
226,bed,n.,床,house,🛏️,True,1,1,
227,chair,n.,椅子,house,🪑,True,1,1,
228,table,n.,桌子,house,🪑,True,1,1,
229,key,n.,鑰匙,house,🔑,True,1,1,
230,baseball,n.,棒球,sports,⚾,False,3,1,
231,basketball,n.,籃球,sports,🏀,False,3,1,
232,soccer,n.,足球,sports,⚽,True,2,1,
233,badminton,n.,羽毛球,sports,🏸,False,3,1,
234,swim,n.,游泳,sports,🏊,True,1,1,
235,run,n.,跑步,sports,🏃,True,1,1,
236,game,n.,遊戲；比賽,sports,🎮,True,1,1,
237,dance,n.,跳舞,sports,💃,True,1,1,
238,doctor,n.,醫生,jobs,👨‍⚕️,True,3,1,
239,nurse,n.,護理師,jobs,👩‍⚕️,True,2,1,
240,farmer,n.,農夫,jobs,👨‍🌾,False,3,1,
241,cook,n.,廚師,jobs,👨‍🍳,True,2,1,
242,driver,n.,司機,jobs,🚗,False,3,1,
243,police,n.,警察,jobs,👮,False,3,1,
244,singer,n.,歌手,jobs,🎤,False,3,1,
245,worker,n.,工人,jobs,👷,False,3,1,
246,clerk,n.,店員,jobs,🧑‍💼,True,2,1,
247,happy,adj.,快樂的,feelings,😄,True,2,1,
248,sad,adj.,難過的,feelings,😢,True,2,1,
249,angry,adj.,生氣的,feelings,😠,True,2,1,
250,afraid,adj.,害怕的,feelings,😨,False,3,1,
251,tired,adj.,疲倦的,feelings,😴,True,2,1,
252,excited,adj.,興奮的,feelings,🤩,False,3,1,
253,bored,adj.,無聊的,feelings,😑,True,2,1,
254,hungry,adj.,飢餓的,feelings,🍽️,False,3,1,
255,thirsty,adj.,口渴的,feelings,🥤,False,3,1,
256,sick,adj.,生病的,feelings,🤒,True,2,1,
257,kind,adj.,親切的,feelings,🤗,True,2,1,
258,eat,v.,吃,verbs,🍽️,True,2,1,
259,drink,v.,喝,verbs,🥤,False,3,1,
260,sleep,v.,睡覺,verbs,😴,False,3,1,
261,walk,v.,走路,verbs,🚶,True,2,1,
262,jump,v.,跳,verbs,🤸,True,2,1,
263,sing,v.,唱歌,verbs,🎤,True,2,1,
264,read,v.,閱讀,verbs,📖,True,2,1,
265,write,v.,寫,verbs,✍️,False,3,1,
266,draw,v.,畫,verbs,🎨,True,2,1,
267,play,v.,玩,verbs,🎮,True,2,1,
268,go,v.,去,verbs,➡️,True,2,1,
269,come,v.,來,verbs,⬅️,True,2,1,
270,look,v.,看,verbs,👀,True,2,1,
271,listen,v.,聽,verbs,👂,False,3,1,
272,speak,v.,說,verbs,🗣️,False,3,1,
273,learn,v.,學習,verbs,🧠,False,3,1,
274,teach,v.,教,verbs,👩‍🏫,False,3,1,
275,help,v.,幫助,verbs,🤝,True,2,1,
276,open,v.,打開,verbs,🔓,True,2,1,
277,close,v.,關上,verbs,🔒,True,2,1,
278,buy,v.,買,verbs,🛍️,True,2,1,
279,give,v.,給,verbs,🎁,True,2,1,
280,make,v.,製作,verbs,🔨,True,2,1,
281,like,v.,喜歡,verbs,👍,True,2,1,
282,love,v.,愛,verbs,❤️,True,2,1,
283,big,adj.,大的,adjectives,🐘,True,2,1,
284,small,adj.,小的,adjectives,🐜,False,3,1,
285,long,adj.,長的,adjectives,📏,True,2,1,
286,short,adj.,短的；矮的,adjectives,📐,False,3,1,
287,tall,adj.,高的,adjectives,🦒,True,2,1,
288,new,adj.,新的,adjectives,✨,True,2,1,
289,old,adj.,舊的；老的,adjectives,👴,True,2,1,
290,good,adj.,好的,adjectives,👍,True,2,1,
291,bad,adj.,壞的,adjectives,👎,True,2,1,
292,fast,adj.,快的,adjectives,⚡,True,2,1,
293,slow,adj.,慢的,adjectives,🐌,True,2,1,
294,beautiful,adj.,美麗的,adjectives,🌺,False,3,1,
295,what,pron.,什麼,wh-words,❓,True,2,1,
296,who,pron.,誰,wh-words,❓,True,2,1,
297,where,pron.,哪裡,wh-words,📍,True,3,1,
298,when,pron.,什麼時候,wh-words,🕐,True,2,1,
299,why,pron.,為什麼,wh-words,❓,True,2,1,
300,how,pron.,如何,wh-words,❓,True,2,1,
301,a/an,art.,一個,pronouns,,False,2,2,
302,a few,adj.,一些,numbers,,False,2,2,
303,a little,adj.,一點點,numbers,,False,3,2,
304,a lot,adv.,很多,numbers,,False,2,2,
305,a.m,adv.,上午,time,,False,2,2,
306,able,adj.,能夠的,adjectives,,True,2,2,
307,about,prep.,關於,prepositions,,False,2,2,
308,above,prep.,在…上方,prepositions,,False,2,2,
309,abroad,adv.,在國外,adverbs,,False,3,2,
310,across,prep.,穿越,prepositions,,False,3,2,
311,act,v.,表演,verbs,,True,2,2,
312,action,n.,行動,nouns,,False,3,2,
313,actor,n.,男演員,jobs,,True,2,2,
314,actress,n.,女演員,jobs,,False,3,2,
315,actually,adv.,事實上,adverbs,,False,3,2,
316,after,prep.,在…之後,prepositions,,False,2,2,
317,again,adv.,再一次,adverbs,🔁,True,2,2,
318,age,n.,年齡,nouns,,True,2,2,
319,ago,adv.,以前,time,,True,2,2,
320,agree,v.,同意,verbs,,True,2,2,
321,ahead,adv.,在前面,adverbs,,False,2,2,
322,air,n.,空氣,weather,,True,2,2,
323,all,adj.,全部的,numbers,,True,2,2,
324,allow,v.,允許,verbs,,True,2,2,
325,almost,adv.,幾乎,adverbs,,False,3,2,
326,along,prep.,沿著,prepositions,,False,2,2,
327,already,adv.,已經,time,,False,3,2,
328,also,adv.,也,adverbs,,False,2,2,
329,always,adv.,總是,adverbs,,False,3,2,
330,America,n.,美國,countries,🇺🇸,False,3,2,
331,American,n.,美國人,nouns,,False,3,2,
332,and,conj.,和,conjunctions,,False,2,2,
333,angle,n.,角度,sizes,📐,False,2,2,
334,another,pron.,另一個,pronouns,,False,3,2,
335,answer,n.,答案,school,,False,3,2,
336,any,pron.,任何,numbers,,False,2,2,
337,anyone,pron.,任何人,pronouns,,False,3,2,anybody
338,anything,pron.,任何事,pronouns,,False,3,2,
339,apartment,n.,公寓,house,🏢,False,3,2,
340,appear,v.,出現,verbs,,False,3,2,
341,area,n.,地區,geography,,True,2,2,
342,around,prep.,在…周圍,prepositions,,False,3,2,
343,arrive,v.,到達,transportation,,False,3,2,
344,as,conj.,當…時,conjunctions,,False,2,2,
345,ask,v.,問,school,,True,2,2,
346,at,prep.,在,prepositions,,False,2,2,
347,attack,v.,攻擊,verbs,,False,3,2,
348,away,adv.,離開,adverbs,,True,2,2,
349,baby,n.,嬰兒,people,👶,True,2,2,
350,back,n.,背部,body,,True,2,2,
351,bake,v.,烘烤,food,,True,2,2,
352,bakery,n.,麵包店,places,🥐,False,3,2,
353,balcony,n.,陽台,house,,False,3,2,
354,band,n.,樂團,sports,,True,2,2,
355,basket,n.,籃子,house,🧺,False,3,2,
356,bat,n.,蝙蝠,animals,🦇,True,2,2,
357,bath,n.,洗澡,house,🛁,True,2,2,
358,be,aux.,是,auxiliaries,,False,2,2,"am, is, are, was, were, been"
359,bean,n.,豆子,food,🫘,True,2,2,
360,because,conj.,因為,conjunctions,,False,3,2,
361,become,v.,變成,verbs,,False,3,2,
362,beef,n.,牛肉,food,🥩,True,2,2,
363,before,prep.,在…之前,prepositions,,False,3,2,
364,begin,v.,開始,verbs,,True,2,2,
365,behind,prep.,在…後面,prepositions,,False,3,2,
366,believe,v.,相信,verbs,,False,3,2,
367,bell,n.,鈴,nouns,🔔,True,2,2,
368,belong,v.,屬於,verbs,,False,3,2,
369,below,prep.,在…下方,prepositions,,False,2,2,
370,belt,n.,皮帶,clothing,,True,2,2,
371,bench,n.,長椅,house,,True,2,2,
372,beside,prep.,在…旁邊,prepositions,,False,3,2,
373,between,prep.,在…之間,prepositions,,False,3,2,
374,birthday,n.,生日,nouns,🎂,False,3,2,
375,bite,v.,咬,animals,,True,2,2,
376,blackboard,n.,黑板,school,,False,3,2,
377,blank,n.,空白,nouns,,False,2,2,
378,blanket,n.,毯子,house,,False,3,2,
379,blind,adj.,瞎的,traits,,False,2,2,
380,block,n.,街區,transportation,,True,2,2,
381,blow,v.,吹,weather,🌬️,True,2,2,
382,boil,v.,煮沸,food,,True,2,2,
383,boring,adj.,無聊的,traits,,False,3,2,
384,born,adj.,出生的,family,,True,2,2,
385,borrow,v.,借入,money,,False,3,2,
386,boss,n.,老闆,jobs,,True,2,2,
387,both,pron.,兩者都,numbers,,False,2,2,
388,bottle,n.,瓶子,sizes,🍾,False,3,2,
389,bottom,n.,底部,nouns,,False,3,2,
390,bow,v.,鞠躬,verbs,🙇,True,2,2,
391,box,n.,盒子,nouns,📦,True,2,2,
392,boy,n.,男孩,people,👦,True,2,2,
393,brave,adj.,勇敢的,traits,,True,2,2,
394,break,v.,打破,verbs,,True,2,2,
395,bridge,n.,橋,transportation,🌉,False,3,2,
396,bright,adj.,明亮的,adjectives,,False,3,2,
397,bring,v.,帶來,verbs,,True,2,2,
398,brush,v.,刷,verbs,,True,2,2,
399,bug,n.,小蟲,animals,🐛,True,2,2,
400,build,v.,建造,house,🏗️,True,2,2,
401,bun,n.,小圓麵包,food,,True,2,2,
402,burn,v.,燒焦,food,,True,2,2,
403,business,n.,生意,jobs,,False,3,2,
404,businessman,n.,商人,jobs,,False,3,2,
405,busy,adj.,忙碌的,traits,,True,2,2,
406,but,conj.,但是,conjunctions,,False,2,2,
407,butter,n.,奶油,food,🧈,False,3,2,
408,button,n.,鈕扣,clothing,,False,3,2,
409,by,prep.,藉由,prepositions,,False,2,2,
410,call,v.,打電話,verbs,,True,2,2,
411,camera,n.,相機,house,📷,False,3,2,
412,camp,v.,露營,sports,🏕️,True,2,2,
413,can,aux.,能夠,auxiliaries,,False,2,2,
414,could,aux.,可以,auxiliaries,,False,2,2,
415,candle,n.,蠟燭,house,🕯️,False,3,2,
416,card,n.,卡片,sports,🃏,True,2,2,
417,care,v.,關心,verbs,,True,2,2,
418,careful,adj.,小心的,traits,,False,3,2,
419,carry,v.,攜帶,verbs,,True,2,2,
420,case,n.,情況,nouns,,True,2,2,
421,castle,n.,城堡,nouns,🏰,False,3,2,
422,catch,v.,接住,verbs,,True,2,2,
423,celebrate,v.,慶祝,holidays,🎉,False,3,2,
424,cellphone,n.,手機,nouns,📱,False,3,2,
425,cent,n.,分錢,money,,False,2,2,
426,center,n.,中心,nouns,,False,3,2,
427,centimeter,n.,公分,sizes,,False,3,2,
428,chalk,n.,粉筆,school,,True,2,2,
429,chance,n.,機會,nouns,,False,3,2,
430,change,n.,零錢,money,🪙,False,3,2,
431,cheap,adj.,便宜的,money,,True,2,2,
432,cheat,v.,作弊,verbs,,False,2,2,
433,check,v.,檢查,verbs,,True,2,2,
434,cheer,n.,歡呼,nouns,,True,2,2,
435,cheese,n.,起司,food,🧀,False,3,2,
436,child,n.,小孩,people,🧒,True,2,2,
437,China,n.,中國,countries,🇨🇳,False,2,2,
438,Chinese,n.,中文,school,,False,3,2,
439,choice,n.,選擇,nouns,,False,3,2,
440,choose,v.,挑選,verbs,,False,3,2,
441,Christmas,n.,聖誕節,holidays,🎄,False,3,2,
442,church,n.,教堂,places,⛪,False,3,2,
443,circle,n.,圓形,sizes,⭕,False,3,2,
444,clap,v.,拍手,verbs,👏,True,2,2,
445,class,n.,班級,school,,True,2,2,
446,clean,v.,打掃,house,🧹,True,2,2,
447,clear,adj.,晴朗的,weather,,True,2,2,
448,climb,v.,爬,sports,🧗,True,2,2,
449,clock,n.,時鐘,time,🕰️,True,2,2,
450,club,n.,社團,nouns,,True,2,2,
451,coffee,n.,咖啡,food,☕,False,3,2,
452,collect,v.,收集,verbs,,False,3,2,
453,color,n.,顏色,colors,🎨,True,2,2,
454,comb,n.,梳子,clothing,,False,2,2,
455,comfortable,adj.,舒服的,health,,False,3,2,
456,comic,n.,漫畫,sports,,True,2,2,
457,common,adj.,常見的,adjectives,,False,3,2,
458,computer,n.,電腦,house,💻,False,3,2,
459,convenient,adj.,方便的,adjectives,,False,3,2,
460,cool,adj.,酷的,traits,😎,True,2,2,
461,copy,v.,抄寫,verbs,,True,2,2,
462,corner,n.,角落,nouns,,False,3,2,
463,correct,v.,改正,verbs,,False,3,2,
464,cost,v.,花費,money,,True,2,2,
465,couch,n.,長沙發,house,🛋️,True,2,2,
466,count,v.,數,verbs,,True,2,2,
467,country,n.,鄉下,places,,False,3,2,
468,course,n.,課程,school,,False,3,2,
469,cousin,n.,堂表兄弟姊妹,family,,False,3,2,
470,cover,v.,覆蓋,verbs,,True,2,2,
471,crazy,adj.,瘋狂的,traits,,True,2,2,
472,cross,v.,越過,transportation,,True,2,2,
473,cry,v.,哭,verbs,😢,True,2,2,
474,cut,v.,切,verbs,✂️,True,2,2,
475,cute,adj.,可愛的,traits,,True,2,2,
476,dangerous,adj.,危險的,adjectives,,False,3,2,
477,dark,adj.,黑暗的,adjectives,,True,2,2,
478,date,v.,約會,verbs,,True,2,2,
479,day,n.,天,time,,True,2,2,
480,dead,adj.,死的,adjectives,,True,2,2,
481,deal,v.,處理,verbs,,False,2,2,
482,dear,adj.,親愛的,adjectives,,True,2,2,
483,death,n.,死亡,health,,True,2,2,
484,decide,v.,決定,verbs,,False,3,2,
485,deep,adj.,深的,sizes,,True,2,2,
486,define,v.,下定義,verbs,,False,3,2,
487,delicious,adj.,美味的,food,😋,False,3,2,
488,dentist,n.,牙醫,jobs,,False,3,2,
489,department store,n.,百貨公司,places,🏬,False,3,2,
490,dictionary,n.,字典,school,📖,False,3,2,
491,die,v.,死,verbs,,True,2,2,
492,different,adj.,不同的,adjectives,,False,3,2,
493,difficult,adj.,困難的,adjectives,,False,3,2,
494,dig,v.,挖,verbs,,True,2,2,
495,dining room,n.,餐廳,house,,False,3,2,
496,dirty,adj.,髒的,adjectives,,True,2,2,
497,dish,n.,盤子,tableware,🍽️,True,2,2,
498,do,aux.,做,auxiliaries,,False,2,2,"does, did, done"
499,doll,n.,洋娃娃,sports,🪆,True,2,2,
500,dollar,n.,元,money,💵,False,3,2,
501,dot,n.,點,sizes,,True,2,2,
502,down,prep.,向下,prepositions,,False,2,2,
503,download,v.,下載,verbs,,False,3,2,
504,dozen,n.,一打,sizes,,False,2,2,
505,drawer,n.,抽屜,house,,False,3,2,
506,dream,n.,夢,nouns,,True,2,2,
507,drive,v.,開車,transportation,🚗,True,2,2,
508,drop,v.,掉落,verbs,,True,2,2,
509,drum,n.,鼓,sports,🥁,True,2,2,
510,dry,adj.,乾燥的,weather,,True,2,2,
511,during,prep.,在…期間,prepositions,,False,3,2,
512,each,pron.,每個,pronouns,,False,2,2,
513,early,adj.,早的,time,,True,2,2,
514,earth,n.,地球,weather,🌏,True,2,2,
515,earthquake,n.,地震,weather,,False,3,2,
516,east,n.,東方,places,,True,2,2,
517,Easter,n.,復活節,holidays,🐣,False,3,2,
518,easy,adj.,簡單的,adjectives,,True,2,2,
519,eighty,num.,八十,numbers,,False,3,2,
520,either,adv.,也不,adverbs,,False,3,2,
521,elementary school,n.,小學,school,🏫,False,3,2,
522,else,adj.,其他的,adjectives,,False,2,2,
523,e-mail,n.,電子郵件,nouns,📧,False,3,2,
524,end,v.,結束,verbs,,True,2,2,
525,engineer,n.,工程師,jobs,,False,3,2,
526,enjoy,v.,享受,verbs,,True,2,2,
527,enough,adj.,足夠的,adjectives,,False,3,2,
528,enter,v.,進入,verbs,,True,2,2,
529,envelope,n.,信封,school,✉️,False,3,2,
530,error,n.,錯誤,nouns,,True,2,2,
531,eve,n.,前夕,nouns,,False,2,2,
532,even,adv.,甚至,adverbs,,False,2,2,
533,evening,n.,傍晚,time,🌆,False,3,2,
534,ever,adv.,曾經,adverbs,,False,2,2,
535,every,adj.,每一,pronouns,,False,2,2,
536,everyone,pron.,每個人,pronouns,,False,3,2,everybody
537,everything,pron.,每件事,pronouns,,False,3,2,
538,example,n.,例子,school,,False,3,2,
539,excellent,adj.,優秀的,adjectives,,False,3,2,
540,except,prep.,除了,prepositions,,False,3,2,
541,exciting,adj.,刺激的,traits,,False,3,2,
542,excuse,n.,藉口,nouns,,False,3,2,
543,exercise,n.,運動,sports,,False,3,2,
