id,word,pos,zh,theme,emoji,spell
254,hungry,adj.,飢餓的,feelings,🍽️,false
255,thirsty,adj.,口渴的,feelings,🥤,false
256,sick,adj.,生病的,feelings,🤒,true
257,kind,adj.,親切的,feelings,🤗,true
258,eat,v.,吃,verbs,🍽️,true
259,drink,v.,喝,verbs,🥤,false
260,sleep,v.,睡覺,verbs,😴,false
261,walk,v.,走路,verbs,🚶,true
262,jump,v.,跳,verbs,🤸,true
263,sing,v.,唱歌,verbs,🎤,true
264,read,v.,閱讀,verbs,📖,true
265,write,v.,寫,verbs,✍️,false
266,draw,v.,畫,verbs,🎨,true
267,play,v.,玩,verbs,🎮,true
268,go,v.,去,verbs,➡️,true
269,come,v.,來,verbs,⬅️,true
270,look,v.,看,verbs,👀,true
271,listen,v.,聽,verbs,👂,false
272,speak,v.,說,verbs,🗣️,false
273,learn,v.,學習,verbs,🧠,false
274,teach,v.,教,verbs,👩‍🏫,false
275,help,v.,幫助,verbs,🤝,true
276,open,v.,打開,verbs,🔓,true
277,close,v.,關上,verbs,🔒,true
278,buy,v.,買,verbs,🛍️,true
279,give,v.,給,verbs,🎁,true
280,make,v.,製作,verbs,🔨,true
281,like,v.,喜歡,verbs,👍,true
282,love,v.,愛,verbs,❤️,true
283,big,adj.,大的,adjectives,🐘,true
284,small,adj.,小的,adjectives,🐜,false
285,long,adj.,長的,adjectives,📏,true
286,short,adj.,短的；矮的,adjectives,📐,false
287,tall,adj.,高的,adjectives,🦒,true
288,new,adj.,新的,adjectives,✨,true
289,old,adj.,舊的；老的,adjectives,👴,true
290,good,adj.,好的,adjectives,👍,true
291,bad,adj.,壞的,adjectives,👎,true
292,fast,adj.,快的,adjectives,⚡,true
293,slow,adj.,慢的,adjectives,🐌,true
294,beautiful,adj.,美麗的,adjectives,🌺,false
295,what,pron.,什麼,wh-words,❓,true
296,who,pron.,誰,wh-words,❓,true
297,where,pron.,哪裡,wh-words,📍,true
298,when,pron.,什麼時候,wh-words,🕐,true
299,why,pron.,為什麼,wh-words,❓,true
300,how,pron.,如何,wh-words,❓,true
